,show_id,date_added,month_added
87,s88,2021-09-10,9
88,s89,2021-09-09,9
89,s90,2021-09-09,9
90,s91,2021-09-09,9
90,s91,2021-09-09,9
91,s92,2021-09-09,9
91,s92,2021-09-09,9
92,s93,2021-09-08,9
93,s94,2021-09-08,9
94,s95,2021-09-08,9
94,s95,2021-09-08,9
95,s96,2021-09-08,9
95,s96,2021-09-08,9
96,s97,2021-09-07,9
97,s98,2021-09-07,9
98,s99,2021-09-07,9
99,s100,2021-09-07,9
99,s100,2021-09-07,9
100,s101,2021-09-07,9
101,s102,2021-09-07,9
101,s102,2021-09-07,9
102,s103,2021-09-06,9
103,s104,2021-09-06,9
104,s105,2021-09-06,9
105,s106,2021-09-05,9
106,s107,2021-09-05,9
107,s108,2021-09-04,9
108,s109,2021-09-03,9
109,s110,2021-09-03,9
110,s111,2021-09-03,9
110,s111,2021-09-03,9
111,s112,2021-09-03,9
111,s112,2021-09-03,9
112,s113,2021-09-03,9
113,s114,2021-09-02,9
114,s115,2021-09-02,9
115,s116,2021-09-02,9
115,s116,2021-09-02,9
115,s116,2021-09-02,9
116,s117,2021-09-02,9
117,s118,2021-09-02,9
117,s118,2021-09-02,9
118,s119,2021-09-02,9
119,s120,2021-09-02,9
120,s121,2021-09-02,9
121,s122,2021-09-02,9
122,s123,2021-09-02,9
122,s123,2021-09-02,9
122,s123,2021-09-02,9
122,s123,2021-09-02,9
123,s124,2021-09-02,9
124,s125,2021-09-02,9
125,s126,2021-09-02,9
126,s127,2021-09-02,9
127,s128,2021-09-01,9
127,s128,2021-09-01,9
128,s129,2021-09-01,9
129,s130,2021-09-01,9
129,s130,2021-09-01,9
130,s131,2021-09-01,9
131,s132,2021-09-01,9
132,s133,2021-09-01,9
133,s134,2021-09-01,9
133,s134,2021-09-01,9
134,s135,2021-09-01,9
134,s135,2021-09-01,9
135,s136,2021-09-01,9
135,s136,2021-09-01,9
135,s136,2021-09-01,9
135,s136,2021-09-01,9
136,s137,2021-09-01,9
136,s137,2021-09-01,9
136,s137,2021-09-01,9
136,s137,2021-09-01,9
137,s138,2021-09-01,9
137,s138,2021-09-01,9
138,s139,2021-09-01,9
139,s140,2021-09-01,9
140,s141,2021-09-01,9
140,s141,2021-09-01,9
141,s142,2021-09-01,9
141,s142,2021-09-01,9
141,s142,2021-09-01,9
142,s143,2021-09-01,9
142,s143,2021-09-01,9
143,s144,2021-09-01,9
144,s145,2021-09-01,9
145,s146,2021-09-01,9
145,s146,2021-09-01,9
146,s147,2021-09-01,9
147,s148,2021-09-01,9
148,s149,2021-09-01,9
149,s150,2021-09-01,9
150,s151,2021-09-01,9
151,s152,2021-09-01,9
151,s152,2021-09-01,9
151,s152,2021-09-01,9
151,s152,2021-09-01,9
152,s153,2021-09-01,9
153,s154,2021-09-01,9
154,s155,2021-09-01,9
155,s156,2021-09-01,9
155,s156,2021-09-01,9
156,s157,2021-09-01,9
157,s158,2021-09-01,9
158,s159,2021-09-01,9
159,s160,2021-09-01,9
160,s161,2021-09-01,9
161,s162,2021-09-01,9
162,s163,2021-09-01,9
162,s163,2021-09-01,9
162,s163,2021-09-01,9
163,s164,2021-09-01,9
164,s165,2021-09-01,9
165,s166,2021-09-01,9
166,s167,2021-09-01,9
166,s167,2021-09-01,9
167,s168,2021-09-01,9
167,s168,2021-09-01,9
167,s168,2021-09-01,9
167,s168,2021-09-01,9
168,s169,2021-09-01,9
168,s169,2021-09-01,9
169,s170,2021-09-01,9
170,s171,2021-09-01,9
171,s172,2021-09-01,9
172,s173,2021-09-01,9
172,s173,2021-09-01,9
173,s174,2021-09-01,9
174,s175,2021-09-01,9
175,s176,2021-09-01,9
176,s177,2021-09-01,9
177,s178,2021-09-01,9
177,s178,2021-09-01,9
178,s179,2021-09-01,9
178,s179,2021-09-01,9
179,s180,2021-09-01,9
180,s181,2021-09-01,9
181,s182,2021-09-01,9
182,s183,2021-09-01,9
183,s184,2021-08-31,8
184,s185,2021-08-31,8
185,s186,2021-08-31,8
185,s186,2021-08-31,8
186,s187,2021-08-29,8
187,s188,2021-08-29,8
188,s189,2021-08-28,8
188,s189,2021-08-28,8
189,s190,2021-08-28,8
190,s191,2021-08-28,8
191,s192,2021-08-28,8
191,s192,2021-08-28,8
191,s192,2021-08-28,8
192,s193,2021-08-27,8
193,s194,2021-08-27,8
194,s195,2021-08-27,8
195,s196,2021-08-27,8
196,s197,2021-08-27,8
197,s198,2021-08-27,8
198,s199,2021-08-27,8
199,s200,2021-08-27,8
